,ts_code,symbol,name,area,industry,list_date
405,000953.SZ,000953.SZ#E,河化股份,广西,化学制药,19991202
406,000955.SZ,000955.SZ#E,欣龙控股,海南,纺织,19991209
407,000957.SZ,000957.SZ#E,中通客车,山东,汽车整车,20000113
408,000958.SZ,000958.SZ#E,电投产融,河北,多元金融,19991223
409,000959.SZ,000959.SZ#E,首钢股份,北京,普钢,19991216
410,000960.SZ,000960.SZ#E,锡业股份,云南,小金属,20000221
411,000961.SZ,000961.SZ#E,中南建设,江苏,全国地产,20000301
412,000962.SZ,000962.SZ#E,东方钽业,宁夏,小金属,20000120
413,000963.SZ,000963.SZ#E,华东医药,浙江,化学制药,20000127
414,000965.SZ,000965.SZ#E,天保基建,天津,区域地产,20000406
415,000966.SZ,000966.SZ#E,长源电力,湖北,火力发电,20000316
416,000967.SZ,000967.SZ#E,盈峰环境,浙江,环境保护,20000330
417,000968.SZ,000968.SZ#E,蓝焰控股,山西,石油开采,20000622
418,000969.SZ,000969.SZ#E,安泰科技,北京,小金属,20000529
419,000970.SZ,000970.SZ#E,中科三环,北京,矿物制品,20000420
420,000971.SZ,000971.SZ#E,ST高升,湖北,互联网,20000427
421,000972.SZ,000972.SZ#E,中基健康,新疆,食品,20000926
422,000973.SZ,000973.SZ#E,佛塑科技,广东,塑料,20000525
423,000975.SZ,000975.SZ#E,银泰黄金,内蒙,黄金,20000608
424,000976.SZ,000976.SZ#E,ST华铁,广东,运输设备,20000601
425,000977.SZ,000977.SZ#E,浪潮信息,山东,IT设备,20000608
426,000978.SZ,000978.SZ#E,桂林旅游,广西,旅游景点,20000518
427,000980.SZ,000980.SZ#E,众泰汽车,浙江,汽车配件,20000616
428,000981.SZ,000981.SZ#E,山子股份,甘肃,汽车配件,20000622
429,000982.SZ,000982.SZ#E,中银绒业,宁夏,纺织,20000706
430,000983.SZ,000983.SZ#E,山西焦煤,山西,煤炭开采,20000726
431,000985.SZ,000985.SZ#E,大庆华科,黑龙江,化工原料,20000726
432,000987.SZ,000987.SZ#E,越秀资本,广东,多元金融,20000718
433,000988.SZ,000988.SZ#E,华工科技,湖北,专用机械,20000608
434,000989.SZ,000989.SZ#E,九芝堂,湖南,中成药,20000628
435,000990.SZ,000990.SZ#E,诚志股份,江西,化工原料,20000706
436,000993.SZ,000993.SZ#E,闽东电力,福建,水力发电,20000731
437,000995.SZ,000995.SZ#E,*ST皇台,甘肃,白酒,20000807
438,000996.SZ,000996.SZ#E,*ST中期,北京,汽车服务,20000718
439,000997.SZ,000997.SZ#E,新大陆,福建,IT设备,20000807
440,000998.SZ,000998.SZ#E,隆平高科,湖南,种植业,20001211
441,000999.SZ,000999.SZ#E,华润三九,深圳,中成药,20000309
442,001201.SZ,001201.SZ#E,东瑞股份,广东,农业综合,20210428
443,001202.SZ,001202.SZ#E,炬申股份,广东,仓储物流,20210429
444,001203.SZ,001203.SZ#E,大中矿业,内蒙,普钢,20210510
445,001205.SZ,001205.SZ#E,盛航股份,江苏,水运,20210513
446,001206.SZ,001206.SZ#E,依依股份,天津,造纸,20210518
447,001207.SZ,001207.SZ#E,联科科技,山东,化工原料,20210623
448,001208.SZ,001208.SZ#E,华菱线缆,湖南,电气设备,20210624
449,001209.SZ,001209.SZ#E,洪兴股份,广东,服饰,20210723
450,001210.SZ,001210.SZ#E,金房能源,北京,供气供热,20210729
451,001211.SZ,001211.SZ#E,双枪科技,浙江,家居用品,20210805
452,001212.SZ,001212.SZ#E,中旗新材,广东,其他建材,20210823
453,001213.SZ,001213.SZ#E,中铁特货,北京,仓储物流,20210908
454,001215.SZ,001215.SZ#E,千味央厨,河南,食品,20210906
455,001216.SZ,001216.SZ#E,华瓷股份,湖南,家居用品,20211019
456,001217.SZ,001217.SZ#E,华尔泰,安徽,化工原料,20210929
457,001218.SZ,001218.SZ#E,丽臣实业,湖南,化工原料,20211015
458,001219.SZ,001219.SZ#E,青岛食品,山东,食品,20211021
459,001222.SZ,001222.SZ#E,源飞宠物,浙江,文教休闲,20220818
460,001223.SZ,001223.SZ#E,欧克科技,江西,专用机械,20221212
461,001225.SZ,001225.SZ#E,和泰机电,浙江,专用机械,20230222
462,001226.SZ,001226.SZ#E,拓山重工,安徽,工程机械,20220622
463,001227.SZ,001227.SZ#E,兰州银行,甘肃,银行,20220117
464,001228.SZ,001228.SZ#E,永泰运,浙江,仓储物流,20220429
465,001229.SZ,001229.SZ#E,魅视科技,广东,IT设备,20220808
466,001230.SZ,001230.SZ#E,劲旅环境,安徽,环境保护,20220715
467,001231.SZ,001231.SZ#E,农心科技,陕西,农药化肥,20220819
468,001234.SZ,001234.SZ#E,泰慕士,江苏,服饰,20220111
469,001236.SZ,001236.SZ#E,弘业期货,江苏,多元金融,20220805
470,001238.SZ,001238.SZ#E,浙江正特,浙江,家居用品,20220919
471,001255.SZ,001255.SZ#E,博菲电气,浙江,化工原料,20220930
